agoid	aaffydes	abiocart	achromlc	adbest	aebiembl	aesembl	aflybase	ahgdb	agbank	agenecar	agenemap	agname	agsymbol	agoa	agomgd	agrif	ahomolog	ainterpr	alocusli	akegg	amaploc	amgd	amgi	anetaffx	aorgansm	aomim	apdb	apfam	aphenotp	apiripro	aplasmod	apubmed	argd	arefseq	arhdb	asgd	atair	atigr	atrembl	aucschgb	aunigene	auniprot	aunists	awormbas	afuncsum	aowndb	aother	abiopath	adesease	afuncat	ageneral	ago	amf	abp	acc	aliterat	aprotdom	aprotint	aappend	aretriev	aremove	acluster	amapongo	amapslim	afitdepth	afbroad	apreproc	atransfr	abias	areduce	akeysrch	ablastsc	aoverlap	afindids	aapi	aordered	ainex	ar
11	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	1	1	1	1	1	0	0	0	0	1	1	1	1	1	1	1	0	0	0	1	0	0	0	0	1	0	1	0
12	1	0	0	0	0	0	0	0	0	1	0	1	1	1	0	1	1	0	1	1	1	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	1	1	1	1	1	1	0	0	0	0	1	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0
13	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	1	1	1	0	0	0	1	1	1	0	1	0	1	0	0	0	0	1	0	0	0	0	1	0	1	0
14	1	0	1	0	1	1	1	0	0	0	0	0	1	1	1	0	0	1	1	1	1	0	1	1	1	1	0	1	0	0	0	0	1	1	0	1	0	0	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	0	1	0	1	0	1	0	0	0	1	1	0	1	0	0	1	0
15	1	1	1	0	0	0	0	0	9	9	0	1	0	1	0	0	1	0	1	1	0	0	0	1	0	1	1	1	0	1	0	0	0	1	0	0	0	1	0	0	1	1	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	0	0	0	1	1	0	0	0	0	0	1	0
16	1	0	1	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	1	1	0	0	0	1	9	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	1	0
17	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	1	0	1	0	0	0	0
18	0	0	1	1	0	0	0	0	1	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1	0	0	1	0	1	1	0	1	1	1	1	1	1	1	1	1	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	1	0
19	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	1	0	0	0	0	1	0	1	1	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0
22	0	0	0	1	0	1	1	0	1	0	0	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	1	1	1	0	0	1	1	1	1	1	0	0	0	0	1	0	1	1	0	1	0	0	1	1	1	1	0	0	0	1	0	1	0
23	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	9	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	1
26	1	0	0	0	1	1	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	1	1	1	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	1	1	1	1	0	0	0	0	1	0	1	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0
